="",=".036503",=".0856191",=".07211",=".0676933",=".1278333",=".0946734",=".2729606",=".1154562",=".2590412",=".178687",=".0368678",=".1099317",=".084437",=".141822",=".2147612",=".2631092",=".1310962",=".1771497",=".3413412",=".0889195"
="",=".748544",=".206051",=".6322802",=".2067292",=".2738126",=".0887352",=".5920088",=".2117845",=".6128601",=".7621874",=".4315565",=".0072243",=".5031348",=".2638256",=".2804448",=".6740273",=".5641031",=".055003",=".8987485",=".1105458"
="disability_physical",="-.0032772",="-.0004198",="-.0490315",=".0958218",=".0505981",=".0199332",=".1377208",="-.0732305",=".0619961",=".08868",="-.0237358",=".081465",="-.0326546",="-.0989452",=".2168386",="-.1440048",=".0473254",=".0116982",="-.1507183",=".0948536"
="",=".0251513",=".0623645",=".0525381",=".0466421",=".0880799",=".065232",=".1880758",=".0795518",=".178485",=".1231192",=".0254027",=".0757453",=".0581789",=".0977184",=".1479751",=".1812879",=".0903281",=".12206",=".2351914",=".0612675"
="",=".8966503",=".9946364",=".3518914",=".0431216",=".5672317",=".7607036",=".4660965",=".3599916",=".729221",=".4734022",=".3528522",=".2852998",=".5761383",=".3142517",=".1466433",=".4292888",=".601742",=".9238816",=".5234185",=".1254279"
="race_african",=".0665815",="-.0355121",=".0520137",="-.0634783",="-.0982705",=".0703653",=".0709316",="-.0726986",="-.0942586",="-.1524615",="-.0371359",=".0794419",=".0371455",="-.1054236",="-.0302618",=".3019591",=".0352192",="-.0793403",="-.2074207",=".0129802"
="",=".0313385",=".0738139",=".0621688",=".0581159",=".1097471",=".0812788",=".2343415",=".0991212",=".2223914",=".1534059",=".0316517",=".0943783",=".0724906",=".1217567",=".1843762",=".2258839",=".1125484",=".1520861",=".2930474",=".076339"
="",=".0366319",=".6310374",=".4038552",=".2779125",=".3731802",=".3891658",=".7628966",=".4653871",=".6727917",=".3232229",=".2440853",=".4023825",=".6097362",=".3890964",=".870032",=".1849887",=".7551321",=".6032991",=".4810727",=".8654024"
="race_asian",=".0442079",=".0818916",=".0825132",="-.0148182",="-.2977557",=".0741512",="-.2069489",="-.1058987",=".073175",="-.3587012",="-.0109937",=".0499609",=".1151827",="-.1866694",="-.0785912",=".0861318",="-.0814405",=".0608224",="-.1600236",=".1261252"
="",=".036476",=".0905391",=".0762737",=".0676433",=".1277388",=".0946034",=".2727588",=".1153709",=".2588497",=".1785549",=".0368406",=".1098504",=".0843746",=".1417172",=".2146024",=".2629147",=".1309993",=".1770187",=".3410888",=".0888538"
="",=".2290033",=".3669656",=".280733",=".827145",=".0222109",=".4354095",=".4501927",=".3613644",=".7781246",=".0478368",=".7661438",=".6504489",=".1759441",=".1914415",=".7151458",=".7440465",=".5358726",=".7320318",=".6402037",=".1595528"
="race_hispanic",=".0440477",="-.1120584",=".021723",="-.0256701",="-.1699009",=".0691524",="-.1068084",="-.0326805",=".1901666",="-.3018992",=".0054221",="-.0378943",="-.0427411",=".0708957",="-.1912064",=".0980253",="-.0697202",="-.1338349",="-.0458184",=".0259328"
="",=".0311233",=".0747674",=".0629778",=".0577168",=".1089935",=".0807206",=".2327323",=".0984405",=".2208642",=".1523525",=".0314343",=".0937302",=".0719928",=".1209206",=".1831101",=".2243327",=".1117755",=".1510417",=".291035",=".0758147"
="",=".1607766",=".1357174",=".7305341",=".6576655",=".122891",=".3941143",=".6474967",=".7407499",=".3917424",=".0508766",=".8634779",=".6870514",=".5543569",=".5592844",=".2994544",=".6632862",=".5345218",=".3781661",=".875291",=".7331848"
="religion_atheist",="-.0012792",=".0240444",=".0264561",="-.0361476",=".1081009",=".0048192",=".2551478",="-.0774412",=".4451342",="-.0258308",=".0172198",="-.0361244",=".2204753",="-.0166307",="-.1273669",=".000358",="-.0335118",=".0383016",="-.0745433",="-.1386691"
="",=".0359821",=".0901047",=".0759107",=".0667274",=".1260093",=".0933225",=".2690658",=".1138088",=".255345",=".1761373",=".0363418",=".1083631",=".0832322",=".1397984",=".2116968",=".259355",=".1292256",=".174622",=".3364706",=".0876507"
="",=".9717272",=".7898954",=".7278446",=".5894796",=".3934589",=".9589407",=".3457769",=".4981366",=".0850354",=".883767",=".6368798",=".73971",=".0096846",=".9055964",=".5490685",=".9989019",=".7960322",=".8269301",=".8252192",=".1174845"
="religion_christian",="-.0280237",="-.0694033",="-.022016",="-.0037526",=".0122053",=".1422036",="-.0513557",="-.0030637",=".2274794",="-.364101",="-.0221833",=".0045814",=".0616881",="-.0189379",="-.0807078",=".1722036",="-.013625",="-.0592988",="-.3568778",="-.0520079"
="",=".0341527",=".0849659",=".0715793",=".0633347",=".1196024",=".0885776",=".2553854",=".1080223",=".2423622",=".1671818",=".034494",=".1028535",=".0790003",=".1326904",=".2009332",=".2461683",=".1226552",=".1657435",=".3193631",=".0831942"
="",=".4142862",=".4151196",=".7587481",=".9528967",=".9189669",=".1122478",=".8411255",=".9774422",=".3506964",=".0322881",=".5219502",=".9645802",=".4371337",=".8868593",=".6889757",=".4861967",=".9118216",=".7214314",=".267058",=".5336162"
="religion_jewish",=".0235906",="-.027911",="-.0415174",=".001265",=".0211399",=".0865016",=".2342107",=".1103132",="-.036126",="-.173755",="-.0127586",=".0369449",="-.0695091",="-.1437272",="-.0760122",=".2506224",=".042835",="-.009027",="-.1485433",="-.1071797"
="",=".0298491",=".0746037",=".062851",=".055354",=".1045315",=".0774161",=".2232047",=".0944106",=".2118225",=".1461155",=".0301475",=".0898931",=".0690456",=".1159703",=".175614",=".215149",=".1071996",=".1448584",=".2791206",=".072711"
="",=".4316169",=".7087607",=".5097017",=".9818232",=".8402344",=".2671042",=".2971187",=".2460144",=".8649989",=".2378081",=".673252",=".6821542",=".3170342",=".2187535",=".6662697",=".2474459",=".6905038",=".950463",=".5960383",=".1442969"
="political_obama_supporter",="-.0678492",="-.0420692",="-.0961942",="-.0677083",=".0810501",="-.1311893",=".1303025",="-.0207871",="-.1910694",="-.1419658",="-.0101347",=".1016045",=".0483259",="-.0262309",="-.3283168",="-.3811384",="-.0215994",="-.0856367",="-.0906275",="-.0221706"
="",=".0337463",=".0788417",=".0664007",=".0625812",=".1181795",=".0875238",=".252347",=".1067371",=".2394787",=".1651928",=".0340836",=".1016298",=".0780604",=".1311118",=".1985427",=".2432396",=".121196",=".1637716",=".3155635",=".0822044"
="",=".0476582",=".5942942",=".149098",=".282456",=".49476",=".13774",=".6069911",=".8460702",=".427259",=".3926281",=".7669516",=".3203723",=".5375774",=".841925",=".1020256",=".1209832",=".8589904",=".6024517",=".7746894",=".7880683"
="political_trump_supporter",="-.0514211",=".0400733",="-.0343962",=".0162987",=".2364523",="-.0337847",=".023038",=".0659489",="-.3725816",="-.0718023",="-.0076715",=".0704388",=".02214",=".1160811",="-.0074687",=".0115579",=".0487137",="-.1748246",="-.5759867",="-.1104181"
="",=".035759",=".0819534",=".0690148",=".0663136",=".1252278",=".0927438",=".2673971",=".113103",=".2537614",=".175045",=".0361164",=".1076911",=".082716",=".1389314",=".2103839",=".2577465",=".1284242",=".173539",=".3343839",=".0871071"
="",=".1542425",=".6254635",=".6187957",=".8064649",=".0625387",=".716587",=".931552",=".5614346",=".1458658",=".6827337",=".8323129",=".5148891",=".7896308",=".4058481",=".9717672",=".9643421",=".7054316",=".3167021",=".0887431",=".2085241"
="political_republican",="-.0215751",="-.0096201",=".0054199",="-.0295905",=".0777282",="-.0143653",=".0825493",=".0928756",="-.4562654",="-.1529867",="-.0163084",=".0746848",="-.0554502",=".1042179",="-.1954768",="-.105939",=".0683333",="-.206105",="-.2988051",="-.0322592"
="",=".0324153",=".0758353",=".0638691",=".0601128",=".1135181",=".0840716",=".2423935",=".102527",=".2300329",=".158677",=".0327392",=".0976212",=".0749814",=".1259403",=".1907115",=".2336453",=".1164156",=".1573118",=".3031166",=".078962"
="",=".5075449",=".8991988",=".9324636",=".6238577",=".4954507",=".8647472",=".7343067",=".3676617",=".0506606",=".3378108",=".6197247",=".4464397",=".4617035",=".4103453",=".3083834",=".6514453",=".5588314",=".1937972",=".3271427",=".6839411"
="_cons",=".3734988",=".4271514",=".9608248",=".1699771",=".3912025",="1.241662",="1.456151",=".5175831",=".8517834",=".8909891",=".9337473",=".1251162",="1.412005",=".9446764",=".7504076",="1.303996",=".8129136",=".5269422",="2.079066",="1.084373"
="",=".0523396",=".0277398",=".0222769",=".0970617",=".1832932",=".135747",=".3913833",=".1655463",=".371425",=".2562095",=".0528628",=".1576251",=".1210696",=".2033508",=".3079343",=".377258",=".1879716",=".2540052",=".4894304",=".1274968"
="",="3.49e-10",="1.69e-34",="4.06e-99",=".0836463",=".0358047",="3.67e-14",=".0003629",=".0024476",=".0243917",=".0008123",="1.11e-29",=".4296273",="4.28e-19",=".0000128",=".0169776",=".0008697",=".0000427",=".0411661",=".0000566",="6.95e-13"
="N",="105",="200",="210",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105",="105"
